temp,prec,invierno,otoño,primavera,verano,mp25
14.5,51,0,0,0,1,2.25
15.5,0,0,0,0,1,7.54166
16.9,0.4,0,0,0,1,3.04167
15.2,0,0,0,0,1,8.58333
15.3,0,0,0,0,1,4.20834
16,0,0,0,0,1,11
18.7,0,0,0,0,1,2.66667
20,0,0,0,0,1,2.58333
19.1,0,0,0,0,1,2.04167
17.9,0,0,0,0,1,3.875
17.9,0,0,0,0,1,4.08334
19.4,0,0,0,0,1,4.79166
17.2,0,0,0,0,1,4.16666
18.3,0,0,0,0,1,3.54167
14.7,0.4,0,0,0,1,3.95833
12.7,1.2,0,0,0,1,4.66666
10,0,0,0,0,1,7.875
10.8,10.4,0,0,0,1,9.75
15.1,0,0,0,0,1,4.70834
13.5,2.6,0,0,0,1,4.29166
15.7,4.2,0,0,0,1,4.33334
14.9,7,0,0,0,1,4.04166
15.6,2.6,0,0,0,1,1.875
16.2,0,0,0,0,1,3.52174
16.2,0,0,0,0,1,3.75
16.1,0,0,0,0,1,5.29166
21.2,0,0,0,0,1,8.41667
21,0,0,0,0,1,6.08334
16.2,0.8,0,0,0,1,4.79166
15.9,0,0,0,0,1,4.375
13.2,0,0,0,0,1,5.91666
17.3,0,0,0,0,1,3.70833
18.1,0,0,0,0,1,3.04167
17.9,0.4,0,0,0,1,3.91667
17.9,0,0,0,0,1,2.375
15.7,0,0,0,0,1,3.5
17.3,0,0,0,0,1,3.04167
17.9,0,0,0,0,1,2.83333
17.3,0,0,0,0,1,4.41666
15.9,0,0,0,0,1,6.34782
14.9,0,0,0,0,1,7.08334
14.2,0,0,0,0,1,5.79166
16.5,0,0,0,0,1,5
17.5,0,0,0,0,1,4.75
17.8,0,0,0,0,1,6.16666
16.8,0,0,0,0,1,6.41666
17.6,0,0,0,0,1,2.625
15.3,0,0,0,0,1,5.625
14.6,0,0,0,0,1,6.16666
17.2,4.8,0,0,0,1,3.375
15.7,0,0,0,0,1,4.91666
18.8,0,0,0,0,1,4.20834
18.3,0,0,0,0,1,3
15.4,14.6,0,0,0,1,8.5
16.1,1.2,0,0,0,1,6.20834
16.4,10.2,0,0,0,1,5.82609
16.1,5.2,0,0,0,1,3.41667
14.6,1,0,0,0,1,4.45834
13.3,0.2,0,0,0,1,9.875
14.9,0.2,0,0,0,1,3.54546
17.6,0,0,0,0,1,4.91666
16.9,12.6,0,0,0,1,5.125
11.1,0.2,0,0,0,1,13.375
11.5,2.2,0,0,0,1,9.33333
13.5,8.2,0,0,0,1,4.625
14.8,0.8,0,0,0,1,3.5
14.2,14,0,0,0,1,10.8636
10.7,0.2,0,0,0,1,15.4583
12.9,0,0,0,0,1,8.20833
14.8,0,0,0,0,1,4.375
14.9,0,0,0,0,1,5.04166
12.7,0,0,0,0,1,9.95833
14.3,0,0,0,0,1,7.16666
16.8,0,0,0,0,1,4.66666
12.8,5.2,0,0,0,1,12.0417
11.2,0,0,0,0,1,12.625
10.3,0,0,0,0,1,13.3333
9.3,0,0,0,0,1,50.4167
11.7,6,0,0,0,1,27.6667
13.6,0.4,1,0,0,0,12.625
12.2,8.4,1,0,0,0,10.625
11.1,0.6,1,0,0,0,20.125
9,0,1,0,0,0,37.5
13,0,1,0,0,0,15.4583
9.8,4.8,1,0,0,0,18.8333
12.3,0,1,0,0,0,20.625
10.4,14.6,1,0,0,0,11.6667
10.1,0.4,1,0,0,0,29.375
7.3,0,1,0,0,0,46.8333
12.1,6,1,0,0,0,28.0833
7.3,0,1,0,0,0,60.375
10.5,0,1,0,0,0,19.5
13.2,1,1,0,0,0,24.4167
13.8,1.6,1,0,0,0,11.625
15.2,0.2,1,0,0,0,16
13.8,0,1,0,0,0,9.54167
10.6,7.8,1,0,0,0,31.4583
8.8,0,1,0,0,0,36.9583
8.4,2.2,1,0,0,0,26.4167
8.7,0,1,0,0,0,72.2727
9.5,0,1,0,0,0,54.5833
10.8,0,1,0,0,0,47.7083
9.7,0,1,0,0,0,68.9166
11.5,0,1,0,0,0,36.25
10,0.4,1,0,0,0,55.7083
12.5,0,1,0,0,0,33.5833
9.9,5.8,1,0,0,0,34.5417
8,15.2,1,0,0,0,31.875
11.9,2.8,1,0,0,0,10.1739
11.4,10,1,0,0,0,7.70834
11.9,3.4,1,0,0,0,9.70833
10.6,11.6,1,0,0,0,14.125
8.2,35,1,0,0,0,9.25
9,14.4,1,0,0,0,18.4167
8.2,0.8,1,0,0,0,19.9583
5.5,0,1,0,0,0,151
3.3,0,1,0,0,0,128.833
3.7,0,1,0,0,0,156.083
8.7,0,1,0,0,0,80.4166
8.3,0,1,0,0,0,73.9584
11.4,0,1,0,0,0,29.6667
13.9,0,1,0,0,0,30.9583
13,0.2,1,0,0,0,40.087
11.3,0,1,0,0,0,35.4583
12,4,1,0,0,0,11.5
13.5,0.2,1,0,0,0,21.7917
8.5,0,1,0,0,0,27.75
7.9,0,1,0,0,0,66.25
5.6,5.4,1,0,0,0,86.6666
11.4,0.4,1,0,0,0,54.875
4.2,0.2,1,0,0,0,187
4.3,0,1,0,0,0,39.9583
9.2,0,1,0,0,0,43.7917
4.7,0,1,0,0,0,164.5
4.1,0,1,0,0,0,198.375
4.1,0.4,1,0,0,0,111
10.2,8.6,1,0,0,0,27.2083
12.3,4,1,0,0,0,15.7917
11.9,31,1,0,0,0,7.125
10,4.6,1,0,0,0,14.75
6.6,12.8,1,0,0,0,26.5417
6.6,6.8,1,0,0,0,84.7916
2.9,0,1,0,0,0,82.5834
3,0,1,0,0,0,70
1.9,0,1,0,0,0,143.375
5.2,1.2,1,0,0,0,134.217
2.2,0,1,0,0,0,127.042
0.9,0,1,0,0,0,139.875
-0.1,0,1,0,0,0,243.917
-1.4,0,1,0,0,0,93.5416
1.3,1.8,1,0,0,0,174.458
5.7,7,1,0,0,0,75.5416
7.2,0.2,1,0,0,0,88.75
5.3,8.6,1,0,0,0,55.3333
9.7,25.8,1,0,0,0,6.91666
10.4,0.6,1,0,0,0,75.7916
9.9,0.2,1,0,0,0,33.25
3.2,0,1,0,0,0,218.708
0.1,0,1,0,0,0,196.542
1.6,0,1,0,0,0,259.227
3.5,0.2,1,0,0,0,97.125
8.1,11,1,0,0,0,34.2083
8.9,0,1,0,0,0,79.5834
4.1,0.8,1,0,0,0,50.9583
6.1,5,1,0,0,0,38.5417
3.9,0.6,1,0,0,0,111.5
5.4,12.8,1,0,0,0,27.625
7.8,8.8,1,0,0,0,56.4167
7.2,0.2,1,0,0,0,32.6667
6,0,0,1,0,0,64.5416
0.8,0,0,1,0,0,189.458
1.2,0,0,1,0,0,122.917
4.1,0,0,1,0,0,62.7083
3,0,0,1,0,0,131.391
0.2,0,0,1,0,0,321.375
4,13.4,0,1,0,0,123.75
10.7,40.8,0,1,0,0,10.0417
9.7,1,0,1,0,0,34.4167
6.2,21.4,0,1,0,0,33.7083
6.1,5.6,0,1,0,0,39.7826
5.1,19.4,0,1,0,0,56.875
5.6,16,0,1,0,0,18.7083
6.2,18.4,0,1,0,0,17.2917
7.3,19.2,0,1,0,0,21.0833
6.9,5.6,0,1,0,0,36.875
6.8,0,0,1,0,0,24.4167
7.9,12.4,0,1,0,0,18.125
8.2,17.4,0,1,0,0,31.2083
6.7,5.8,0,1,0,0,33.2917
6,21.6,0,1,0,0,31.75
6.1,6.2,0,1,0,0,69.4166
3.9,0.8,0,1,0,0,103.375
0.6,0,0,1,0,0,146.5
1.8,0,0,1,0,0,143.125
0.8,11.8,0,1,0,0,102.667
6.2,7,0,1,0,0,53
1.9,0,0,1,0,0,278.375
2.4,10,0,1,0,0,38
10,7.8,0,1,0,0,38.0833
3.7,14.4,0,1,0,0,83.875
6.5,10.6,0,1,0,0,22.875
10.6,4.6,0,1,0,0,22.4583
13.6,2.4,0,1,0,0,80.9166
10.3,4.2,0,1,0,0,85.9166
8,0,0,1,0,0,139.583
4.2,0.2,0,1,0,0,180.261
4.6,0,0,1,0,0,95.7916
6.1,0,0,1,0,0,60.9583
6.2,0,0,1,0,0,54.7222
6.5,0,0,1,0,0,69
2.1,0,0,1,0,0,257.609
3.3,2.2,0,1,0,0,107.792
5.3,0,0,1,0,0,66.7084
6.2,0,0,1,0,0,38.875
7.3,3.2,0,1,0,0,34
6.6,1.6,0,1,0,0,60.4583
3.8,0.2,0,1,0,0,146.375
3.1,0.2,0,1,0,0,126.25
3.8,0,0,1,0,0,73.3478
9.1,9.6,0,1,0,0,16.2917
9.3,12.2,0,1,0,0,22.2917
9.7,19.8,0,1,0,0,13.7917
6.8,13.8,0,1,0,0,49
5.5,4.8,0,1,0,0,17.875
8.4,1.8,0,1,0,0,32.25
5.6,1.2,0,1,0,0,130.792
4.6,0,0,1,0,0,73.7084
7.5,0.2,0,1,0,0,157.708
9.2,0,0,1,0,0,73.6666
9.8,0,0,1,0,0,31.375
6.4,5.6,0,1,0,0,68.5416
8.9,0.4,0,1,0,0,22.4167
4.3,0,0,1,0,0,115.875
6.5,0,0,1,0,0,57.6667
7.4,1.6,0,1,0,0,36.375
5.3,0,0,1,0,0,76.7084
4.4,0,0,1,0,0,120.375
4.1,0.2,0,1,0,0,182.167
5.1,0,0,1,0,0,87.1666
7.4,1.4,0,1,0,0,84.5834
9,0,0,1,0,0,49.2917
5.9,0.2,0,1,0,0,65.1666
5.6,0.2,0,1,0,0,106
6.4,0,0,1,0,0,119.833
6.8,0,0,1,0,0,113.958
10.2,4.2,0,1,0,0,38.125
8.7,0.8,0,1,0,0,15.125
6.5,5,0,1,0,0,44.0417
5.5,0,0,1,0,0,79.5416
8,0,0,1,0,0,58.2083
9.1,0,0,1,0,0,60.3913
9.8,0,0,1,0,0,28.7083
11.8,0,0,1,0,0,10.2917
10.9,43,0,1,0,0,17.875
2.9,11.4,0,1,0,0,58.4583
5.9,0,0,1,0,0,31.8333
7.4,0,0,1,0,0,68.0834
4.3,0,0,1,0,0,68.5
7,2.3,0,1,0,0,49.125
5.7,13,0,0,1,0,30.875
8.9,25.6,0,0,1,0,17.125
10.2,0,0,0,1,0,20.1667
7,0,0,0,1,0,28.125
9,10,0,0,1,0,38.7917
10.4,1.4,0,0,1,0,20.0833
8.5,0,0,0,1,0,22.125
11.1,0,0,0,1,0,11.9583
10.2,0,0,0,1,0,30.5417
9.8,0,0,0,1,0,30.9167
11.4,0,0,0,1,0,22.9583
10.6,0,0,0,1,0,42.875
11.6,3.6,0,0,1,0,13.2083
11.8,4,0,0,1,0,24.375
8,11.6,0,0,1,0,33.6191
10.4,3,0,0,1,0,12.2917
11.7,0.8,0,0,1,0,8.125
7.5,0,0,0,1,0,18.75
8.7,0,0,0,1,0,10.5833
9.2,0,0,0,1,0,22.7083
7.1,2.4,0,0,1,0,31.4167
9.6,2,0,0,1,0,16.2083
5,1,0,0,1,0,50.6667
10.9,0,0,0,1,0,21.4583
10.8,0,0,0,1,0,16.2083
11.5,0,0,0,1,0,13.9583
16.1,0,0,0,1,0,10.4167
15.6,0,0,0,1,0,10.8333
11.9,3.2,0,0,1,0,8.54167
11.7,0.8,0,0,1,0,8.52174
9.9,0,0,0,1,0,11.0833
9.4,0,0,0,1,0,15.125
9.8,1.6,0,0,1,0,10.1667
12.7,0,0,0,1,0,17.7083
10.9,1.2,0,0,1,0,26.0417
13.4,0,0,0,1,0,11.5
8.9,5.2,0,0,1,0,14.5417
12,3.6,0,0,1,0,14.0417
9.9,1,0,0,1,0,11.0833
8.2,0,0,0,1,0,10.9583
9.7,0,0,0,1,0,10.4583
12.1,0,0,0,1,0,8.41667
13.5,0,0,0,1,0,13.75
16.9,0,0,0,1,0,9.91667
13.5,0,0,0,1,0,10.45
14,0,0,0,1,0,8.625
14.6,0,0,0,1,0,10.6667
13.8,0,0,0,1,0,8.54167
17.5,0,0,0,1,0,7.45834
16.1,0,0,0,1,0,9.125
14.3,2.6,0,0,1,0,6.75
13.7,19.8,0,0,1,0,22.2083
13.2,10.2,0,0,1,0,13.5417
13.4,8,0,0,1,0,5.70834
14.5,1,0,0,1,0,6.79166
15.7,1.6,0,0,1,0,7.83334
16.7,0,0,0,1,0,6.33334
15.7,0,0,0,1,0,6.25
16.6,0,0,0,1,0,4.375
10.5,1.6,0,0,1,0,11.0833
10.7,0,0,0,1,0,7.5
11.5,0,0,0,1,0,9.16667
14.7,0,0,0,1,0,4.91666
16.6,0,0,0,1,0,3.33333
14.1,0,0,0,1,0,6.79166
14,0,0,0,1,0,6.91666
17.2,2.7,0,0,1,0,5
17.3,19.9,0,0,1,0,3.83333
16.9,10.3,0,0,1,0,5.58334
14.2,8.1,0,0,1,0,6.125
12,1.12,0,0,1,0,7.17391
12.2,1.18,0,0,1,0,7.25
15.5,0,0,0,1,0,6.79166
15.8,0,0,0,1,0,6.875
16.2,0,0,0,1,0,5.66666
15.5,0,0,0,1,0,4.54166
16.9,0,0,0,1,0,5
16.7,0,0,0,1,0,5.08334
16.2,0,0,0,1,0,5.75
15.8,0,0,0,1,0,4.70834
14.4,2.8,0,0,1,0,5.125
15.1,19.1,0,0,1,0,3.5
15.4,10.4,0,0,1,0,4.375
15.6,8.2,0,0,1,0,4.54166
16.1,1.24,0,0,1,0,4.79166
15.4,1.3,0,0,1,0,3.95833
15.9,0,0,0,1,0,3.95833
16.3,0,0,0,1,0,3.83333
16.5,0,0,0,1,0,4.41666
18.3,1.8,0,0,0,1,3.70833
16.2,0,0,0,0,1,3.125
11.7,0,0,0,0,1,3.54167
14.4,0,0,0,0,1,4.375
18.3,0,0,0,0,1,3.45833
18.7,0,0,0,0,1,5.86957
13.9,0,0,0,0,1,6.25
13.6,2.9,0,0,0,1,4.625
14.7,19.11,0,0,0,1,3.70833
