region,fecha,trimestre,mes,t,imacec,dólar,ipc,pib,pib_reg,t_aire,t_aire_min,t_aire_max,p_atm,rad_sol,hum_rel,hum_rel_min,hum_rel_max,precip,t_sup,t_sup_min,t_sup_max,t_suelo,vel_viento,raf_viento,d_viento,exp_kg
LL,01-07-2020,Q3,jul,1,-11.9,776.32,0.1,4.88545318780973,-9.03075017478215,6.3,3.2,9.5,1008.6,3.9,92.5,76.9,99.8,235.7,7,3,10.9,7.6,3.3,41.5,77.2,0
LL,01-08-2020,Q3,ago,2,-11.2,772.04,0.1,4.88545318780973,-9.03075017478215,7.2,3.1,11.2,1011.6,7.2,88.1,66.9,99.7,115.8,8.1,2.5,13.8,7.8,3.3,36.6,97,0
LL,01-09-2020,Q3,sept,3,-5.3,756.58,0.6,4.88545318780973,-9.03075017478215,8.8,3.6,14,1012.1,12.5,81.6,52.9,99.2,60.1,10.1,3.1,17.2,9.5,3.6,39.3,116.2,0
LL,01-10-2020,Q4,oct,4,-1.5,767.24,0.7,6.84806540342533,-2.526242480325,10.1,3.8,16.4,1011.7,17.6,77.5,48.7,99,38.9,10.8,2.6,19,11.5,3.3,30.7,132.6,0
LL,01-11-2020,Q4,nov,5,0.9,737.65,-0.1,6.84806540342533,-2.526242480325,13,6.9,19.1,1010.6,19.8,77.2,52,98.1,43,13.5,5.5,21.5,15,3.6,42.3,148.8,0
LL,01-12-2020,Q4,dic,6,0.5,705.29,0.3,6.84806540342533,-2.526242480325,14.2,7.8,20.6,1009.5,22.8,74.7,48.5,97.9,48.2,14.8,6.3,23.4,17.1,3.1,36.6,155.1,2050613.58
LL,01-01-2021,Q1,ene,7,-3.5,689.91,0.7,3.7854565494801,-4.63244311493474,15.5,8.1,23,1008,24.3,72.4,42.3,99,18.9,16,6,25.9,18.6,3.7,29.6,183.8,648633.71
LL,01-02-2021,Q1,feb,8,-2,684.77,0.2,3.7854565494801,-4.63244311493474,17.1,8.7,25.6,1007.5,21.7,68.3,38.1,97.2,9.7,17.7,6,29.4,19.2,3.5,26.1,185.3,11255777.87
LL,01-03-2021,Q1,mar,9,6.8,684.31,0.4,3.7854565494801,-4.63244311493474,15,7.2,22.7,1008.2,15.7,75.1,43.5,98.4,18.3,15.6,4.8,26.3,16.9,2.7,37.7,148.4,12449381.38
LL,01-04-2021,Q2,abr,10,15.2,661.58,0.4,1.09013993689875,12.6552144905324,12.7,7.7,17.7,1007.8,8.5,85.7,59.6,99.7,102,13.3,6.5,20,14,2.5,34.5,71.2,1379491.35
